
Date,Time,Bus Leakage Status,AC Fault Time,AC Fault Level,Resistor Leakage
2020-05-07,16:35:04,0,0,0,1000
2020-05-07,16:35:09,0,0,0,1000
2020-05-07,16:35:14,0,0,0,1000
2020-05-07,16:35:19,0,0,0,1000
2020-05-07,16:35:24,0,0,0,1000
2020-05-07,16:35:29,0,0,0,1000
2020-05-07,16:35:34,0,0,0,1000
2020-05-07,16:35:39,0,0,0,1000
2020-05-07,16:35:44,0,0,0,1000
2020-05-07,16:35:49,0,0,0,1000
2020-05-07,16:35:54,0,0,0,1000
2020-05-07,16:35:59,0,0,0,1000
2020-05-07,16:36:04,0,0,0,1000
2020-05-07,16:36:09,0,0,0,1000
2020-05-07,16:36:14,0,0,0,1000
2020-05-07,16:36:19,0,0,0,1000
2020-05-07,16:36:24,0,0,0,1000
