
Date,Time,Bus Leakage Status,AC Fault Time,AC Fault Level,Resistor Leakage
2020-04-27,09:47:51,0,0,0,1000
2020-04-27,09:47:53,0,0,0,1000
2020-04-27,09:47:55,0,0,0,1000
2020-04-27,09:47:57,0,0,0,1000
2020-04-27,09:47:59,0,0,0,1000
2020-04-27,09:48:01,0,0,0,1000
2020-04-27,09:48:03,0,0,0,1000
2020-04-27,09:48:05,0,0,0,1000
2020-04-27,09:48:07,0,0,0,1000
2020-04-27,09:48:09,0,0,0,1000
2020-04-27,09:48:11,0,0,0,1000
2020-04-27,09:48:13,0,0,0,1000
2020-04-27,09:48:15,0,0,0,1000
2020-04-27,09:48:17,0,0,0,1000
2020-04-27,09:48:19,0,0,0,1000
2020-04-27,09:48:21,0,0,0,1000
2020-04-27,09:48:23,0,0,0,1000
2020-04-27,09:48:25,0,0,0,1000
2020-04-27,09:48:27,0,0,0,1000
2020-04-27,09:48:29,0,0,0,1000
2020-04-27,09:48:31,0,0,0,1000
2020-04-27,09:48:33,0,0,0,1000
2020-04-27,09:48:35,0,0,0,1000
2020-04-27,09:48:37,0,0,0,1000
2020-04-27,09:48:39,0,0,0,1000
2020-04-27,09:48:41,0,0,0,1000
2020-04-27,09:48:43,0,0,0,1000
2020-04-27,09:48:45,0,0,0,1000
2020-04-27,09:48:47,0,0,0,1000
2020-04-27,09:48:49,0,0,0,1000
2020-04-27,09:48:51,0,0,0,1000
2020-04-27,09:48:53,0,0,0,1000
2020-04-27,09:48:55,0,0,0,1000
2020-04-27,09:48:57,0,0,0,1000
2020-04-27,09:48:59,0,0,0,1000
2020-04-27,09:49:01,0,0,0,1000
2020-04-27,09:49:04,0,0,0,1000
2020-04-27,09:49:06,0,0,0,1000
2020-04-27,09:49:08,0,0,0,1000
2020-04-27,09:49:10,0,0,0,1000
2020-04-27,09:49:12,0,0,0,1000
2020-04-27,09:49:14,0,0,0,1000
2020-04-27,09:49:16,0,0,0,1000
2020-04-27,09:49:18,0,0,0,1000
2020-04-27,09:49:20,0,0,0,1000
2020-04-27,09:49:22,0,0,0,1000
2020-04-27,09:49:24,0,0,0,1000
2020-04-27,09:49:26,0,0,0,1000
2020-04-27,09:49:28,0,0,0,1000
2020-04-27,09:49:30,0,0,0,1000
2020-04-27,09:49:32,0,0,0,1000
2020-04-27,09:49:34,0,0,0,1000
2020-04-27,09:49:36,0,0,0,1000
2020-04-27,09:49:38,0,0,0,1000
2020-04-27,09:49:40,0,0,0,1000
2020-04-27,09:49:42,0,0,0,1000
2020-04-27,09:49:44,0,0,0,1000
2020-04-27,09:49:46,0,0,0,1000
2020-04-27,09:49:48,0,0,0,1000
2020-04-27,09:49:50,0,0,0,1000
2020-04-27,09:49:52,0,0,0,1000
2020-04-27,09:49:54,0,0,0,1000
2020-04-27,09:49:56,0,0,0,1000
2020-04-27,09:49:58,0,0,0,1000
2020-04-27,09:50:00,0,0,0,1000
2020-04-27,09:50:02,0,0,0,1000
2020-04-27,09:50:04,0,0,0,1000
2020-04-27,09:50:06,0,0,0,1000
2020-04-27,09:50:08,0,0,0,1000
2020-04-27,09:50:10,0,0,0,1000
2020-04-27,09:50:12,0,0,0,1000
2020-04-27,09:50:14,0,0,0,1000
2020-04-27,09:50:16,0,0,0,1000
2020-04-27,09:50:18,0,0,0,1000
2020-04-27,09:50:20,0,0,0,1000
2020-04-27,09:50:22,0,0,0,1000
2020-04-27,09:50:24,0,0,0,1000
2020-04-27,09:50:26,0,0,0,1000
2020-04-27,09:50:28,0,0,0,1000
2020-04-27,09:50:30,0,0,0,1000
2020-04-27,09:50:32,0,0,0,1000
2020-04-27,09:50:34,0,0,0,1000
2020-04-27,09:50:36,0,0,0,1000
2020-04-27,09:50:38,0,0,0,1000
2020-04-27,09:50:40,0,0,0,1000
2020-04-27,09:50:42,0,0,0,1000
2020-04-27,09:50:44,0,0,0,1000
2020-04-27,09:50:46,0,0,0,1000
2020-04-27,09:50:48,0,0,0,1000
2020-04-27,09:50:50,0,0,0,1000
2020-04-27,09:50:52,0,0,0,1000
2020-04-27,09:50:54,0,0,0,1000
2020-04-27,09:50:56,0,0,0,1000
2020-04-27,09:50:58,0,0,0,1000
2020-04-27,09:51:00,0,0,0,1000
2020-04-27,09:51:02,0,0,0,1000
2020-04-27,09:51:04,0,0,0,1000
2020-04-27,09:51:06,0,0,0,1000
2020-04-27,09:51:08,0,0,0,1000
2020-04-27,09:51:10,0,0,0,1000
2020-04-27,09:51:12,0,0,0,1000
2020-04-27,09:51:14,0,0,0,1000
2020-04-27,09:51:16,0,0,0,1000
2020-04-27,09:51:18,0,0,0,1000
2020-04-27,09:51:20,0,0,0,1000
2020-04-27,09:51:22,0,0,0,1000
2020-04-27,09:51:24,0,0,0,1000
2020-04-27,09:51:26,0,0,0,1000
2020-04-27,09:51:28,0,0,0,1000
2020-04-27,09:51:30,0,0,0,1000
2020-04-27,09:51:32,0,0,0,1000
2020-04-27,09:51:34,0,0,0,1000
2020-04-27,09:51:36,0,0,0,1000
2020-04-27,09:51:38,0,0,0,1000
2020-04-27,09:51:40,0,0,0,1000
2020-04-27,09:51:42,0,0,0,1000
2020-04-27,09:51:44,0,0,0,1000
2020-04-27,09:51:46,0,0,0,1000
2020-04-27,09:51:48,0,0,0,1000
2020-04-27,09:51:50,0,0,0,1000
2020-04-27,09:51:52,0,0,0,1000
2020-04-27,09:51:54,0,0,0,1000
2020-04-27,09:51:56,0,0,0,1000
2020-04-27,09:51:58,0,0,0,1000
2020-04-27,09:52:00,0,0,0,1000
2020-04-27,09:52:02,0,0,0,1000
2020-04-27,09:52:04,0,0,0,1000
2020-04-27,09:52:06,0,0,0,1000
2020-04-27,09:52:08,0,0,0,1000
2020-04-27,09:52:10,0,0,0,1000
2020-04-27,09:52:12,0,0,0,1000
2020-04-27,09:52:14,0,0,0,1000
2020-04-27,09:52:16,0,0,0,1000
2020-04-27,09:52:18,0,0,0,1000
2020-04-27,09:52:20,0,0,0,1000
2020-04-27,09:52:22,0,0,0,1000
2020-04-27,09:52:24,0,0,0,1000
2020-04-27,09:52:26,0,0,0,1000
2020-04-27,09:52:28,0,0,0,1000
2020-04-27,09:52:30,0,0,0,1000
2020-04-27,09:52:32,0,0,0,1000
2020-04-27,09:52:34,0,0,0,1000
2020-04-27,09:52:36,0,0,0,1000
2020-04-27,09:52:38,0,0,0,1000
2020-04-27,09:52:40,0,0,0,1000
2020-04-27,09:52:42,0,0,0,1000
2020-04-27,09:52:44,0,0,0,1000
2020-04-27,09:52:46,0,0,0,1000
2020-04-27,09:52:48,0,0,0,1000
2020-04-27,09:52:50,0,0,0,1000
2020-04-27,09:52:52,0,0,0,1000
2020-04-27,09:52:54,0,0,0,1000
2020-04-27,09:52:56,0,0,0,1000
2020-04-27,09:52:58,0,0,0,1000
2020-04-27,09:53:00,0,0,0,1000
2020-04-27,09:53:02,0,0,0,1000
2020-04-27,09:53:04,0,0,0,1000
2020-04-27,09:53:06,0,0,0,1000
2020-04-27,09:53:08,0,0,0,1000
2020-04-27,09:53:10,0,0,0,1000
2020-04-27,09:53:12,0,0,0,1000
2020-04-27,09:53:14,0,0,0,1000
2020-04-27,09:53:16,0,0,0,1000
2020-04-27,09:53:18,0,0,0,1000
2020-04-27,09:53:20,0,0,0,1000
2020-04-27,09:53:22,0,0,0,1000
2020-04-27,09:53:24,0,0,0,1000
2020-04-27,09:53:26,0,0,0,1000
2020-04-27,09:53:28,0,0,0,1000
2020-04-27,09:53:30,0,0,0,1000
2020-04-27,09:53:32,0,0,0,1000
2020-04-27,09:53:34,0,0,0,1000
2020-04-27,09:53:36,0,0,0,1000
2020-04-27,09:53:38,0,0,0,1000
2020-04-27,09:53:40,0,0,0,1000
2020-04-27,09:53:42,0,0,0,1000
2020-04-27,09:53:44,0,0,0,1000
2020-04-27,09:53:46,0,0,0,1000
2020-04-27,09:53:48,0,0,0,1000
2020-04-27,09:53:50,0,0,0,1000
2020-04-27,09:53:52,0,0,0,1000
2020-04-27,09:53:54,0,0,0,1000
2020-04-27,09:53:56,0,0,0,1000
2020-04-27,09:53:58,0,0,0,1000
2020-04-27,09:54:00,0,0,0,1000
2020-04-27,09:54:02,0,0,0,1000
2020-04-27,09:54:04,0,0,0,1000
2020-04-27,09:54:06,0,0,0,1000
2020-04-27,09:54:08,0,0,0,1000
2020-04-27,09:54:10,0,0,0,1000
2020-04-27,09:54:12,0,0,0,1000
2020-04-27,09:54:14,0,0,0,1000
2020-04-27,09:54:16,0,0,0,1000
2020-04-27,09:54:18,0,0,0,1000
2020-04-27,09:54:20,0,0,0,1000
2020-04-27,09:54:22,0,0,0,1000
2020-04-27,09:54:24,0,0,0,1000
2020-04-27,09:54:26,0,0,0,1000
2020-04-27,09:54:28,0,0,0,1000
2020-04-27,09:54:30,0,0,0,1000
2020-04-27,09:54:32,0,0,0,1000
2020-04-27,09:54:34,0,0,0,1000
2020-04-27,09:54:36,0,0,0,1000
2020-04-27,09:54:38,0,0,0,1000
2020-04-27,09:54:40,0,0,0,1000
2020-04-27,09:54:42,0,0,0,1000
2020-04-27,09:54:44,0,0,0,1000
2020-04-27,09:54:46,0,0,0,1000
2020-04-27,09:54:48,0,0,0,1000
2020-04-27,09:54:50,0,0,0,1000
2020-04-27,09:54:52,0,0,0,1000
2020-04-27,09:54:54,0,0,0,1000
