
ELD ID,Date,Time,Bus Fault Level,DC Fault Time Bus1,DC Fault Time Bus2,DC Fault Level Bus1,DC Fault Level Bus2,DC Voltage,Resistor Leakage
01,2020-05-12,14:13:53,1,0,0,201,201,50.15,365
01,2020-05-12,14:13:57,1,0,0,201,201,50.15,365
01,2020-05-12,14:14:02,1,0,0,201,201,50.15,365
01,2020-05-12,14:14:06,1,0,0,201,201,50.15,365
01,2020-05-12,14:14:10,1,0,0,201,201,50.15,365
01,2020-05-12,14:14:14,1,0,0,201,201,50.15,365
01,2020-05-12,14:14:18,1,0,0,201,201,50.15,365
01,2020-05-12,14:14:23,1,0,0,201,201,50.15,365
01,2020-05-12,14:14:27,1,0,0,201,201,50.15,365
01,2020-05-12,14:14:31,1,0,0,201,201,50.15,365
01,2020-05-12,14:14:35,1,0,0,201,201,50.15,365
01,2020-05-12,14:14:39,1,0,0,201,201,50.15,365
01,2020-05-12,14:14:44,1,0,0,201,201,50.15,365
01,2020-05-12,14:14:48,1,0,0,201,201,50.15,365
01,2020-05-12,14:14:52,1,0,0,201,201,50.15,365
01,2020-05-12,14:14:56,1,0,0,201,201,50.15,365
01,2020-05-12,14:15:00,1,0,0,201,201,50.15,365
01,2020-05-12,14:15:04,1,0,0,201,201,50.15,365
01,2020-05-12,14:15:09,1,0,0,201,201,50.15,365
01,2020-05-12,14:15:13,1,0,0,201,201,50.15,365
01,2020-05-12,14:15:17,1,0,0,201,201,50.15,365
01,2020-05-12,14:15:21,1,0,0,201,201,50.15,365
01,2020-05-12,14:15:25,1,0,0,201,201,50.15,365
01,2020-05-12,14:15:30,1,0,0,201,201,50.15,365
01,2020-05-12,14:15:34,1,0,0,201,201,50.15,365
01,2020-05-12,14:15:38,1,0,0,201,201,50.15,377
