
ELD ID,Date,Time,Bus Fault Level,DC Fault Time Bus1,DC Fault Time Bus2,DC Fault Level Bus1,DC Fault Level Bus2,DC Voltage,Resistor Leakage
01,2020-05-12,14:11:33,1,0,0,201,201,50.15,365
01,2020-05-12,14:11:37,1,0,0,201,201,50.15,365
01,2020-05-12,14:11:42,1,0,0,201,201,50.15,365
01,2020-05-12,14:11:46,1,0,0,201,201,50.15,365
01,2020-05-12,14:11:50,1,0,0,201,201,50.15,365
01,2020-05-12,14:11:54,1,0,0,201,201,50.15,365
01,2020-05-12,14:11:58,1,0,0,201,201,50.15,365
01,2020-05-12,14:12:03,1,0,0,201,201,50.15,365
01,2020-05-12,14:12:07,1,0,0,201,201,50.15,365
01,2020-05-12,14:12:11,1,0,0,201,201,50.15,365
01,2020-05-12,14:12:15,1,0,0,201,201,50.15,365
01,2020-05-12,14:12:19,1,0,0,201,201,50.15,365
01,2020-05-12,14:12:23,1,0,0,201,201,50.15,365
01,2020-05-12,14:12:28,1,0,0,201,201,50.15,365
01,2020-05-12,14:12:32,1,0,0,201,201,50.15,365
01,2020-05-12,14:12:36,1,0,0,201,201,50.15,365
01,2020-05-12,14:12:40,1,0,0,201,201,50.15,365
01,2020-05-12,14:12:44,1,0,0,201,201,50.15,365
01,2020-05-12,14:12:49,1,0,0,201,201,50.15,365
01,2020-05-12,14:12:53,1,0,0,201,201,50.15,365
01,2020-05-12,14:12:57,1,0,0,201,201,50.15,365
01,2020-05-12,14:13:01,1,0,0,201,201,50.15,365
01,2020-05-12,14:13:05,1,0,0,201,201,50.15,365
01,2020-05-12,14:13:10,1,0,0,201,201,50.15,372
01,2020-05-12,14:13:14,1,0,0,201,201,50.15,365
